Quarterly Year,Total Manufacturing Production (Value in Billion USD),Total Manufacturing Revenues (Value in Billion USD),Employment (in Millions),GDP Contribution Percentage from Manufacturing
2003-Q1,94.72,125.31,52.5,15.59
2003-Q2,97.21,128.64,53.2,15.72
2003-Q3,101.52,134.27,54.1,16.01
2003-Q4,106.24,141.73,55,16.38
2004-Q1,112.43,149.02,56.1,16.82
2004-Q2,116.71,155.35,57,17.15
2004-Q3,122.23,163.72,58.2,17.5
2004-Q4,128.52,174.26,59.3,17.89
2005-Q1,136.24,183.42,60.7,18.39
2005-Q2,141.51,191.85,61.9,18.72
2005-Q3,148.23,202.32,63.3,19.17
2005-Q4,155.72,215.64,64.6,19.65
2006-Q1,165.43,227.21,66.2,20.2
2006-Q2,172.71,238.54,67.5,20.63
2006-Q3,181.23,251.32,69.1,21.18
2006-Q4,190.52,266.26,70.7,21.76
2007-Q1,202.43,283.02,72.5,22.41
2007-Q2,211.71,297.35,73.8,22.84
2007-Q3,222.23,313.72,75.4,23.39
2007-Q4,233.52,332.26,77,23.97
2008-Q1,247.43,347.02,78.8,24.62
2008-Q2,256.71,361.35,80.2,25.05
2008-Q3,267.23,377.72,81.8,25.6
2008-Q4,278.52,389.26,83.4,26.21
2009-Q1,261.43,364.02,82.1,25.38
2009-Q2,246.71,342.35,80.9,24.62
2009-Q3,257.23,358.72,81.7,25.05
2009-Q4,278.52,389.26,83.4,26.21
2010-Q1,292.43,407.02,84.8,27.08
2010-Q2,301.71,418.35,85.7,27.41
2010-Q3,312.23,431.72,86.6,27.86
2010-Q4,333.52,456.26,87.9,28.59
2011-Q1,347.43,474.02,88.8,29.02
2011-Q2,356.71,485.35,89.7,29.35
2011-Q3,367.23,498.72,90.6,29.7
2011-Q4,388.52,523.26,91.9,30.23
2012-Q1,402.43,542.02,92.8,30.56
2012-Q2,411.71,553.35,93.7,30.89
2012-Q3,422.23,566.72,94.6,31.24
2012-Q4,443.52,591.26,95.9,31.77
2013-Q1,457.43,609.02,96.8,32.1
2013-Q2,466.71,618.35,97.7,32.43
2013-Q3,477.23,631.72,98.6,32.78
2013-Q4,498.52,656.26,99.9,33.31
2014-Q1,519.43,679.02,101.8,33.64
2014-Q2,530.71,692.35,102.7,33.97
2014-Q3,542.23,705.72,103.6,34.3
2014-Q4,563.52,720.26,104.5,34.63
2015-Q1,577.43,734.02,105.4,34.96
2015-Q2,586.71,747.35,106.3,35.29
2015-Q3,597.23,760.72,107.2,35.62
2015-Q4,618.52,775.26,108.1,35.95
2016-Q1,632.43,789.02,109,36.28
2016-Q2,641.71,802.35,109.9,36.61
2016-Q3,652.23,815.72,110.8,36.94
2016-Q4,673.52,830.26,111.7,37.27
2017-Q1,687.43,844.02,112.6,37.6
2017-Q2,696.71,857.35,113.5,37.93
2017-Q3,707.23,870.72,114.4,38.26
2017-Q4,728.52,885.26,115.3,38.59
2018-Q1,742.43,899.02,116.2,38.92
2018-Q2,751.71,912.35,117.1,39.25
2018-Q3,762.23,925.72,118,39.58
2018-Q4,783.52,940.26,118.9,39.91
2019-Q1,804.52,955.26,119.8,40.24
2019-Q2,825.71,970.26,120.7,40.57
2019-Q3,846.23,985.72,121.6,40.9
2019-Q4,867.52,1000.26,122.5,41.23
2020-Q1,889.43,1015.02,123.4,41.56
2020-Q2,900.71,1028.35,124.3,41.89
2020-Q3,911.23,1041.72,125.2,42.22
2020-Q4,932.52,1055.26,126.1,42.55
2021-Q1,946.43,1069.02,127,42.88
2021-Q2,955.71,1082.35,127.9,43.21
2021-Q3,966.23,1095.72,128.8,43.54
2021-Q4,987.52,1110.26,129.7,43.87
2022-Q1,1009.43,1124.02,130.6,44.2
2022-Q2,1020.71,1137.35,131.5,44.53
2022-Q3,1031.23,1150.72,132.4,44.86
2022-Q4,1042.52,1164.26,133.3,45.19